Name, GDP, Poverty_rates, Population, Netflix_prices
Australia, 59500, 13.4, 26.7, 12.12
Bolivia, 9700, 39, 12.3, 10.99
Bulgaria, 33300, 20.6, 6.7, 11.29
Czechia, 47700, 10.2, 10.8, 11.49
Ecuador, 14300, 25.2, 18.3, 10.99
France, 55200, 15.6, 68.3, 15.24
Germany, 61900, 14.8, 84.1, 14.67
Hong Kong, 64400, 19.9, 7.2, 11.93
Israel, 48300, 22, 9.4, 19.54
Japan, 46300, 15.4, 123.2, 13.13
New Zealand, 48800, 21.5, 5.1, 12.53
Mexico, 22400, 36.3, 130.7, 10.43
South Korea, 50600, 14.4, 52.0, 11.47
United States, 73600, 12.9, 341.9, 13.99
United Kingdom, 54100, 18.6, 68.4, 13.2
Venezuela, 7704, 33.1, 31.2, 10.99

